siteswap,balls,max throw,canonical form,is canonical,date,animate,gif
28300920, 3, 9, 92028300, false, Fri Sep 20 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwOTIwIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300920
28300928, 4, 9, 92828300, false, Sat Sep 28 2830, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzAwOTI4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28300928
28330224, 3, 8, 83302242, false, Thu Feb 24 2833, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzMwMjI0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28330224
28330314, 3, 8, 83303142, false, Mon Mar 14 2833, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzMwMzE0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28330314
28330611, 3, 8, 83306112, false, Sat Jun 11 2833, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzMwNjExIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28330611
28330619, 4, 9, 92833061, false, Sun Jun 19 2833, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzMwNjE5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28330619
28330620, 3, 8, 83306202, false, Mon Jun 20 2833, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzMwNjIwIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28330620
28330628, 4, 8, 83306282, false, Tue Jun 28 2833, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzMwNjI4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28330628
28340124, 3, 8, 83401242, false, Tue Jan 24 2834, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzQwMTI0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28340124
28340304, 3, 8, 83403042, false, Sat Mar 04 2834, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzQwMzA0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28340304
28340601, 3, 8, 83406012, false, Thu Jun 01 2834, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzQwNjAxIiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28340601
28340609, 4, 9, 92834060, false, Fri Jun 09 2834, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzQwNjA5IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28340609
28340627, 4, 8, 83406272, false, Tue Jun 27 2834, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzQwNjI3IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28340627
28340924, 4, 9, 92428340, false, Sun Sep 24 2834, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzQwOTI0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28340924
28350114, 3, 8, 83501142, false, Sun Jan 14 2835, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzUwMTE0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28350114
28350204, 3, 8, 83502042, false, Sun Feb 04 2835, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzUwMjA0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28350204
28350608, 4, 8, 83506082, false, Fri Jun 08 2835, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzUwNjA4IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28350608
28350617, 4, 8, 83506172, false, Sun Jun 17 2835, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzUwNjE3IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28350617
28350914, 4, 9, 91428350, false, Fri Sep 14 2835, https://ydgunz.github.io/gunswap/?patternSettings=eyJzaXRlc3dhcCI6IjI4MzUwOTE0IiwiZHdlbGxQYXRoIjoiKDMwKSgxMCkiLCJiZWF0RHVyYXRpb24iOjAuMjQsImR3ZWxsUmF0aW8iOjAuOH0=, https://jugglinglab.org/anim?28350914
